Fp1,NE,AF3,F7,FP2
AF3,FP1,F3,NE,AF4
F7,FP1,T7,NE,F3
F3,AF3,C3,F7,FZ
FC1,NE,CP1,FC5,FC2
FC5,FP1,CP5,NE,FC1
T7,F7,P7,NE,C3
C3,F3,P3,T7,CZ
CP1,FC1,OZ,CP5,CP2
CP5,FC5,O1,NE,CP1
P7,T7,O1,NE,P3
P3,C3,PO3,P7,PZ
Pz,CZ,OZ,P3,P4
PO3,P3,O1,NE,PO4
O1,PO3,NE,NE,OZ
Oz,PZ,NE,O1,O2
O2,PO4,NE,OZ,P8
PO4,P4,O2,PO3,NE
P4,C4,PO4,PZ,P8
P8,T8,O2,P4,NE
CP6,FC6,O2,CP2,NE
CP2,FC2,OZ,CP1,CP6
C4,F4,P4,CZ,T8
T8,F8,P8,C4,NE
FC6,FP2,CP6,FC2,NE
FC2,NE,CP2,FC1,FC6
F4,AF4,C4,FZ,F8
F8,FP2,T8,F4,NE
AF4,FP2,F4,AF3,NE
Fp2,NE,AF4,FP1,F8
Fz,NE,CZ,F3,F4
Cz,FZ,PZ,C3,C4
